158,1123,1124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1131,1132,1382,1536,1538,-1,1536,1538,1536,1538,-1,-1,-1
-1,1354,1140,1390,1528,1563,-1,1528,1563,1528,1563,-1,-1,1348
-1,1362,-1,1398,-1,-1,-1,-1,-1,-1,-1,-1,-1,1348
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1353,1354,-1,1523
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1361,1362,-1,1531
-1,1131,1132,1131,1132,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1139,1140,1139,1140,-1,-1,-1,-1,-1,-1,1408,1409,1458
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1416,1417,1466
-1,-1,1543,-1,-1,-1,-1,-1,-1,-1,-1,-1,1543,-1
-1,1340,1551,1292,-1,-1,-1,-1,-1,-1,-1,1290,1551,1394
-1,1348,1551,-1,-1,-1,-1,-1,-1,-1,-1,-1,1551,1353
-1,-1,1559,-1,1396,-1,861,862,863,-1,-1,-1,1559,1361
-1,-1,-1,-1,-1,-1,869,870,871,-1,-1,-1,-1,-1
